anno;superficie_ettari;produzione_uva_quintali;temp_media;umidita_media;pioggia_mm;vento_kmh
2006;1145;62720;12.8;77.89;617;5.94
2007;3868;178932;11.6;73.59;750;5.6
2008;3871;156598;13.3;75.43;903;5.66
2009;2932;134440;13;75.67;931;5.64
2010;3195;141533;11.8;77.67;919;5.76
2011;3362;149945;13.1;75.92;1066;5.76
2012;1146;26696;14.4;74.50;703;5.63
2013;945;61622;12.7;71.84;820;5.63
2014;910;45039;11.5;75.78;1185;5.36
2015;1823;73699;11.7;75.28;774;5.66
2016;3170;166435;12.9;76.09;719;5.56
2017;2136;86756;12.9;74.39;503;4.96
2018;2613;85058;11.5;75.5;932;5.72
2019;1522;88725;13.2;74.89;1079;5.72
2020;2022;82536;11.9;74.62;906;5.56
2021;1840;74988;12.5;75.11;377;5.47
2022;2146;66518;14.6;74.95;440;5.6
2023;2469;99203;13.4;74.38;520;5.55
2024;2455;88462;13.3;77.01;675;5.42
